task_id,target_start_date,target_end_date,target_duration,actual_duration,r,,,
3995111,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995114,2012-09-01 00:00,2015-11-27 00:00,1182.00,2340.6,1.98,,,
3995115,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995116,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995117,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995119,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995122,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995123,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995128,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995129,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995132,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995138,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995139,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995141,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995143,2013-01-28 08:30,2013-01-28 08:30,0.00,0.0,2.02,,,
3995150,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995151,2012-10-29 08:30,2012-10-29 08:30,0.00,0.0,2.02,,,
3995152,2012-10-29 08:30,2012-10-29 08:30,0.00,0.0,2.02,,,
3995154,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,0.00,,,
3995156,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995157,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995162,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995163,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995167,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995169,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995170,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995171,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995172,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995173,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995174,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995175,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995176,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995177,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995179,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995180,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995181,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995182,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995183,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995184,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995185,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995186,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995187,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995188,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995189,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995191,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995192,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995193,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995196,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995197,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995199,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995201,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995202,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995203,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995204,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995219,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995220,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995221,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995223,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995224,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995225,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995226,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995227,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,2.02,,,
3995228,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995229,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
3995230,2012-09-03 08:30,2012-09-03 08:30,0.00,0.0,1.98,,,
