taskrsrc_id,task_id,role_id
6724260,3995114,102771
6724261,3995114,
6724262,3995114,
6724263,3995114,
6724264,3995114,102100
6724265,3995114,102070
6724266,3995114,102084
6724267,3995114,102070
6724268,3995114,102065
6724269,3995114,102794
6724270,3995114,102074
6724271,3995114,102070
6724272,3995114,102070
6724273,3995114,102087
6724274,3995114,102061
6724275,3995114,102074
6724276,3995114,102074
6724277,3995114,102074
6724278,3995114,
6724279,3995180,102771
6724280,3995180,102084
6724281,3995180,102092
6724282,3995180,102794
6724283,3995180,102082
6724284,3995187,102092
6724285,3995187,102092
6724286,3995187,102092
6724287,3995229,102771
6724288,3995229,
6724289,3995229,102090
6724290,3995229,102090
6724291,3995229,102084
6724292,3995229,102092
6724293,3995229,102092
6724294,3995229,102092
6724295,3995229,102057
6724296,3995229,102092
6724297,3995229,
6724298,3995235,
6724299,3995235,
6724300,3995167,102771
6724301,3995167,
6724302,3995167,
6724303,3995172,102771
6724304,3995172,102084
6724305,3995172,102787
6724306,3995172,102070
6724307,3995172,102070
6724308,3995172,102065
6724309,3995172,102082
6724310,3995172,102094
6724311,3995172,102070
6724312,3995174,102771
6724313,3995174,102106
6724314,3995174,102787
6724315,3995174,102070
6724316,3995174,102070
6724317,3995117,102771
6724318,3995179,102771
6724319,3995179,
6724320,3995179,102084
6724321,3995179,102092
6724322,3995179,102092
6724323,3995179,102084
6724324,3995179,102082
6724325,3995179,102084
6724326,3995179,
6724327,3995184,102771
6724328,3995184,102084
6724329,3995184,102092
6724330,3995184,102084
6724331,3995184,102092
6724332,3995193,102771
6724333,3995193,102110
6724334,3995197,102771
6724335,3995220,102771
6724336,3995220,
6724337,3995220,102102
6724338,3995220,102102
6724339,3995221,102771
6724340,3995221,102090
6724341,3995230,102771
6724342,3995230,102087
6724343,3995230,102090
6724344,3995230,102092
6724345,3995141,
6724346,3995237,102771
6724347,3995173,102771
6724348,3995173,102787
6724349,3995173,102070
6724350,3995173,102070
6724351,3995173,102070
6724352,3995173,
6724353,3995116,102771
6724354,3995129,102771
6724355,3995129,102787
6724356,3995129,102082
6724357,3995129,102087
6724358,3995129,102090
6724359,3995129,102082
6724360,3995188,102771
6724361,3995188,102110
6724362,3995188,102084
6724363,3995189,102771
6724364,3995196,102771
6724365,3995196,
6724366,3995196,
6724367,3995223,102771
6724368,3995225,102771
6724369,3995225,102092
6724370,3995225,100985
6724371,3995225,102084
6724372,3995225,102092
6724373,3995225,102092
6724374,3995225,102092
6724375,3995225,102092
6724376,3995228,102771
6724377,3995228,102087
6724378,3995228,102084
6724379,3995228,102087
6724380,3995228,102092
6724381,3995228,102092
6724382,3995228,102087
6724383,3995228,102092
6724384,3995228,102087
6724385,3995111,
6724386,3995111,
6724387,3995156,102771
6724388,3995156,102127
6724389,3995234,102771
6724390,3995176,102771
6724391,3995176,
6724392,3995176,102092
6724393,3995176,102070
6724394,3995176,102070
6724395,3995132,102771
6724396,3995132,
6724397,3995132,102091
6724398,3995132,102092
6724399,3995132,102092
6724400,3995132,102092
6724401,3995132,102092
6724402,3995132,102084
6724403,3995132,102091
6724404,3995132,102092
6724405,3995132,102092
6724406,3995132,102091
6724407,3995132,102091
6724408,3995132,102083
6724409,3995132,102092
6724410,3995132,102092
6724411,3995224,102771
6724412,3995224,102794
6724413,3995170,102065
6724414,3995170,102070
6724415,3995170,102082
6724416,3995288,
6724417,3995186,102092
6724418,3995192,102771
6724419,3995192,
6724420,3995199,102771
6724421,3995227,102771
6724422,3995227,102092
6724423,3995227,102084
6724424,3995227,102092
6724425,3995227,102092
6724426,3995227,
6724427,3995138,
6724428,3995157,
6724429,3995157,
6724430,3995157,
6724431,3995157,102090
6724432,3995157,102090
6724433,3995163,102771
6724434,3995163,102090
6724435,3995175,102771
6724436,3995175,102084
6724437,3995175,102092
6724438,3995175,102070
6724439,3995175,102070
6724440,3995175,102070
6724441,3995175,
6724442,3995123,102771
6724443,3995123,102142
6724444,3995128,102771
6724445,3995128,102132
